sample,run,instrument,fastq_1,fastq_2
SRR5935740,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935740_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935740_2.fastq.gz
SRR5935741,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935741_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935741_2.fastq.gz
SRR5935742,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935742_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935742_2.fastq.gz
SRR5935743,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935743_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935743_2.fastq.gz
SRR5935744,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935744_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935744_2.fastq.gz
SRR5935745,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935745_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935745_2.fastq.gz
SRR5935746,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935746_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935746_2.fastq.gz
SRR5935747,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935747_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935747_2.fastq.gz
SRR5935748,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935748_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935748_2.fastq.gz
SRR5935749,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935749_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935749_2.fastq.gz
