sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
SRR5935740,SRR5935740,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935740_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935740_2.fastq.gz,
SRR5935741,SRR5935741,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935741_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935741_2.fastq.gz,
SRR5935742,SRR5935742,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935742_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935742_2.fastq.gz,
SRR5935743,SRR5935743,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935743_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935743_2.fastq.gz,
SRR5935744,SRR5935744,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935744_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935744_2.fastq.gz,
SRR5935745,SRR5935745,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935745_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935745_2.fastq.gz,
SRR5935746,SRR5935746,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935746_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935746_2.fastq.gz,
SRR5935747,SRR5935747,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935747_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935747_2.fastq.gz,
SRR5935748,SRR5935748,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935748_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935748_2.fastq.gz,
SRR5935749,SRR5935749,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935749_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935749_2.fastq.gz,
SRR5935750,SRR5935750,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935750_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935750_2.fastq.gz,
SRR5935751,SRR5935751,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935751_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935751_2.fastq.gz,
SRR5935752,SRR5935752,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935752_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935752_2.fastq.gz,
SRR5935753,SRR5935753,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935753_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935753_2.fastq.gz,
SRR5935754,SRR5935754,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935754_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935754_2.fastq.gz,
SRR5935755,SRR5935755,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935755_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935755_2.fastq.gz,
SRR5935756,SRR5935756,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935756_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935756_2.fastq.gz,
SRR5935757,SRR5935757,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935757_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935757_2.fastq.gz,
SRR5935758,SRR5935758,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935758_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935758_2.fastq.gz,
SRR5935759,SRR5935759,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935759_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935759_2.fastq.gz,
SRR5935760,SRR5935760,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935760_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935760_2.fastq.gz,
SRR5935761,SRR5935761,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935761_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935761_2.fastq.gz,
SRR5935762,SRR5935762,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935762_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935762_2.fastq.gz,
SRR5935763,SRR5935763,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935763_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935763_2.fastq.gz,
SRR5935764,SRR5935764,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935764_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935764_2.fastq.gz,
